               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.033207,            0.010342,            0.002264,             0.79517,             0.79928,             0.81803,             0.42789,            0.038367,           0.0098205,           0.0097696,             0.00571,             0.00571,             0.00571
                  67,            0.033032,           0.0094226,           0.0020315,              0.8553,             0.78375,             0.82275,             0.42045,            0.037819,           0.0098877,           0.0090375,            0.005644,            0.005644,            0.005644
                  68,             0.03418,            0.010143,           0.0019014,             0.77484,             0.74875,             0.82714,             0.43585,            0.036065,            0.010021,           0.0081858,            0.005578,            0.005578,            0.005578
                  69,            0.031821,            0.010214,           0.0016406,             0.77363,             0.75532,             0.83448,             0.45145,            0.037365,           0.0098811,           0.0083174,            0.005512,            0.005512,            0.005512
                  70,            0.031457,           0.0098397,           0.0023229,             0.75716,             0.79375,             0.84703,             0.45823,            0.035691,            0.010083,           0.0065989,            0.005446,            0.005446,            0.005446
                  71,            0.031396,            0.010376,           0.0018666,             0.77219,             0.75789,             0.82601,             0.43346,            0.033935,           0.0099526,           0.0071838,             0.00538,             0.00538,             0.00538
                  72,            0.030776,           0.0093503,           0.0016605,             0.73891,             0.77664,             0.83136,             0.42101,            0.036219,            0.010118,           0.0073983,            0.005314,            0.005314,            0.005314
                  73,            0.030699,           0.0095613,           0.0020013,             0.81459,             0.71579,             0.82051,             0.42867,            0.034738,            0.010934,            0.007445,            0.005248,            0.005248,            0.005248
                  74,            0.030398,           0.0090481,           0.0014965,             0.73299,             0.78514,             0.78351,             0.41489,            0.035352,            0.011325,            0.010072,            0.005182,            0.005182,            0.005182
                  75,            0.031014,           0.0098103,           0.0016726,             0.71919,             0.81039,             0.77089,              0.3893,            0.035301,            0.010985,            0.010806,            0.005116,            0.005116,            0.005116
                  76,            0.031145,           0.0098418,           0.0021089,             0.75136,             0.75591,             0.79865,              0.4096,            0.036121,            0.010337,            0.011569,             0.00505,             0.00505,             0.00505
                  77,            0.029674,           0.0096823,           0.0018737,             0.74789,             0.81541,             0.80372,             0.40565,            0.036962,            0.010153,           0.0081257,            0.004984,            0.004984,            0.004984
                  78,            0.030898,           0.0099808,           0.0024493,             0.76767,             0.81591,             0.83408,             0.43824,            0.036141,            0.010381,           0.0055836,            0.004918,            0.004918,            0.004918
                  79,            0.029094,           0.0089839,           0.0016556,             0.73891,             0.81541,             0.81325,             0.39452,            0.037491,            0.010311,            0.008429,            0.004852,            0.004852,            0.004852
                  80,            0.031258,           0.0091509,           0.0015887,             0.75171,             0.82043,             0.81119,             0.41229,            0.036573,           0.0099545,           0.0082812,            0.004786,            0.004786,            0.004786
                  81,            0.030509,           0.0091084,           0.0018743,             0.77224,             0.78647,              0.8174,             0.43749,            0.035831,           0.0097591,           0.0077447,             0.00472,             0.00472,             0.00472
                  82,            0.029793,           0.0093872,           0.0017338,             0.73148,             0.82334,             0.80865,             0.42015,            0.035536,           0.0096946,           0.0084238,            0.004654,            0.004654,            0.004654
                  83,            0.029598,           0.0094032,           0.0017091,             0.72783,             0.84301,             0.82863,              0.4443,            0.034842,           0.0097556,           0.0067733,            0.004588,            0.004588,            0.004588
                  84,            0.029483,           0.0093854,           0.0014612,             0.76962,             0.87104,             0.85872,             0.47162,            0.035312,           0.0097587,           0.0047332,            0.004522,            0.004522,            0.004522
                  85,            0.028865,           0.0091236,           0.0016964,             0.73973,             0.89203,             0.87118,             0.47993,             0.03487,           0.0095401,           0.0038895,            0.004456,            0.004456,            0.004456
                  86,            0.029065,           0.0083196,           0.0012676,             0.79377,             0.82043,             0.85455,              0.4573,            0.035738,           0.0097328,           0.0041899,             0.00439,             0.00439,             0.00439
                  87,            0.029209,           0.0093835,           0.0022311,             0.71552,             0.83933,             0.83962,              0.4667,            0.035498,            0.010719,           0.0048901,            0.004324,            0.004324,            0.004324
